imp_age,imp_educat,imp_female,imp_race,sevhard,sevhealthd,spmpov,spmres
32,4,1,1. White Non-Hispanic,1,0,0,19069.004
23,3,1,5. Hispanic,1,1,1,6357.7002
55,3,1,1. White Non-Hispanic,1,1,0,19046.773
36,4,1,1. White Non-Hispanic,0,0,0,183554.2
69,2,0,2. Black Non-Hispanic,1,1,0,37093.98
64,3,0,1. White Non-Hispanic,1,1,0,17561.156
56,3,1,2. Black Non-Hispanic,1,1,1,8353.043
19,3,0,2. Black Non-Hispanic,0,0,0,95033.961
28,2,0,2. Black Non-Hispanic,1,0,0,16809
31,2,1,5. Hispanic,1,0,0,42706.887
77,1,1,2. Black Non-Hispanic,0,0,0,79737.586
31,4,0,1. White Non-Hispanic,0,0,0,54138.91
33,2,0,5. Hispanic,0,0,0,83350.766
34,4,1,1. White Non-Hispanic,0,0,0,76967.859
26,3,1,5. Hispanic,0,0,0,57220.121
43,2,1,5. Hispanic,1,0,0,39375.613
52,4,0,1. White Non-Hispanic,0,1,1,0
44,4,1,1. White Non-Hispanic,0,0,0,58899.91
59,4,1,1. White Non-Hispanic,0,1,0,183914.44
66,4,1,1. White Non-Hispanic,0,1,0,139174.25
57,2,0,4. Other / MultiRacial,1,1,0,29410.523
28,3,0,4. Other / MultiRacial,0,0,0,39268
83,2,1,2. Black Non-Hispanic,1,1,1,6159.7803
20,3,1,5. Hispanic,0,0,0,121178.09
54,1,1,5. Hispanic,0,1,0,19890.523
54,2,0,5. Hispanic,0,0,1,7418.9775
49,2,0,5. Hispanic,0,1,1,18736.063
55,3,1,2. Black Non-Hispanic,1,1,0,25667.77
68,1,1,5. Hispanic,1,1,1,18002.484
55,4,1,4. Other / MultiRacial,0,0,0,36652.102
35,2,0,1. White Non-Hispanic,1,0,0,129481.21
44,2,0,1. White Non-Hispanic,0,1,1,9437.4805
57,3,0,5. Hispanic,0,1,0,44913.043
35,3,1,5. Hispanic,1,0,0,153413.69
77,1,0,5. Hispanic,1,1,1,19611.537
58,1,0,5. Hispanic,1,1,1,27296.625
