imp_billindsev,imp_educat,imp_female,imp_financindsev,imp_foodindsev,imp_houseindsev,imp_race,q4r_age,r_age,sevhard,sevhealthd,spmpov,spmres,q4foodindsev,q4houseindsev,q4billindsev,q4financindsev,q4sevhard,q4spmres,q4spmpov,qweight_p,qweight_pu,q8r_age,q8sevhealthd,q8foodindsev,q8houseindsev,q8billindsev,q8financindsev,q8sevhard,q8spmres,q8spmpov
0,4,0,1,0,0,2. Black Non-Hispanic,51,50,1,0,0,158921.59,0,0,0,1,1,209057.91,0,5487,2744,,0,0,0,0,1,1,206718.41,0
0,1,0,0,0,1,5. Hispanic,53,51,1,1,1,36905.719,0,1,1,1,1,33736.113,1,13160,3290,,,,,,,,,
0,4,1,0,0,1,3. Asian Non-Hispanic,58,58,1,1,1,12952.5,0,0,1,0,1,83399.984,0,4427,2214,60,0,0,0,0,0,1,68273.648,0
0,3,1,0,0,0,1. White Non-Hispanic,,75,0,0,0,46068.934,,,,,,,,7199,7199,,,,,,,,,
0,4,1,0,0,0,4. Other / MultiRacial,43,42,0,0,0,81440.586,0,0,0,0,0,124321.49,0,3854,1927,,,,,,,,,
0,4,1,0,0,0,1. White Non-Hispanic,70,65,1,0,0,167267.98,0,0,0,0,0,111302.52,0,11337,3779,,1,0,0,0,0,1,11266.3,1
0,1,1,1,1,0,5. Hispanic,69,68,1,1,0,20663.27,1,0,0,1,1,34646.902,0,13814,6907,70,1,1,0,0,1,1,34426.418,0
1,4,0,0,1,0,2. Black Non-Hispanic,,50,1,1,1,12111.721,,,,,,,,3222,3222,,,,,,,,,
0,2,0,0,0,1,2. Black Non-Hispanic,,81,1,1,0,17653.043,,,,,,,,3239,3239,,,,,,,,,
0,4,1,0,0,0,1. White Non-Hispanic,,49,0,1,0,126714.95,,,,,,,,6401,1600,,,,,,,,,
0,4,1,0,0,0,1. White Non-Hispanic,78,75,0,0,0,207400,0,0,0,0,0,118217.11,0,2167,1084,78,0,0,0,0,0,0,114424.11,0
1,3,1,0,0,0,2. Black Non-Hispanic,55,64,1,1,1,13092.414,1,0,1,0,1,25064.895,0,11750,5875,,,,,,,,,
0,2,0,0,0,0,2. Black Non-Hispanic,,78,0,1,0,101517.52,,,,,,,,4835,4835,,,,,,,,,
0,4,1,0,1,0,2. Black Non-Hispanic,35,34,1,0,0,55484.148,0,0,0,0,0,57865.754,0,5753,2876,36,0,0,0,0,0,0,114129.89,0
0,3,0,0,0,0,2. Black Non-Hispanic,53,52,0,0,0,125306.25,0,0,0,0,0,103649.16,0,8345,4172,54,0,0,0,0,0,0,44740.27,0
0,3,1,1,0,0,5. Hispanic,,58,1,1,0,41815.25,,,,,,,,11510,5755,,,,,,,,,
0,4,0,0,0,0,2. Black Non-Hispanic,80,79,0,1,0,103302.18,0,0,0,0,0,167935.58,0,6487,2162,82,1,0,0,0,0,0,138674.69,0
0,2,1,0,0,0,2. Black Non-Hispanic,39,38,1,0,1,1300.1749,0,1,0,0,1,22079.088,0,5598,2799,40,0,0,1,0,0,1,79931.063,0
0,2,0,0,0,0,5. Hispanic,,82,0,0,0,26000,,,,,,,,11511,5756,,,,,,,,,
0,4,1,0,0,0,3. Asian Non-Hispanic,23,22,0,0,0,98064.555,0,0,0,0,0,98164.75,0,8504,2835,24,0,0,0,0,0,0,81664.992,0
0,4,0,1,1,0,2. Black Non-Hispanic,,54,1,1,0,20185,,,,,,,,2907,2907,,,,,,,,,
0,4,1,0,0,0,1. White Non-Hispanic,63,62,0,0,0,79665.586,0,0,0,0,0,69965.992,0,5545,5545,64,0,0,0,0,0,0,42118.172,0
0,4,1,0,0,0,1. White Non-Hispanic,,83,0,0,0,207400,,,,,,,,5873,5873,85,0,0,0,0,0,0,88003.656,0
0,2,1,1,1,0,2. Black Non-Hispanic,65,65,1,1,1,24448.029,0,0,0,0,0,27320.801,1,12055,6028,66,1,0,0,0,0,1,28164.213,0
0,3,1,0,0,0,5. Hispanic,,33,1,1,0,167688.23,,,,,,,,37212,12404,,,,,,,,,
0,3,1,0,0,0,1. White Non-Hispanic,,60,0,0,0,77579.688,,,,,,,,37212,9303,,,,,,,,,
0,4,1,0,0,0,1. White Non-Hispanic,,38,0,0,0,116149.14,,,,,,,,4929,2464,,,,,,,,,
0,2,0,0,0,0,2. Black Non-Hispanic,47,46,0,1,1,12181.449,0,0,0,1,1,17947.23,0,2553,2553,48,1,0,0,0,0,0,58494.332,0
0,3,0,0,0,0,1. White Non-Hispanic,,60,1,0,0,83511.453,,,,,,,,21498,10749,,,,,,,,,
0,3,0,0,0,0,1. White Non-Hispanic,,18,0,0,0,207400,,,,,,,,37212,12404,,,,,,,,,
0,4,1,0,0,0,1. White Non-Hispanic,50,49,0,0,0,48073.25,0,1,0,0,1,51438.949,0,3823,3823,51,0,0,0,0,0,0,56198.969,0
0,4,0,0,0,0,1. White Non-Hispanic,74,73,0,0,0,207400,0,0,0,0,0,209057.91,0,10799,5400,75,0,0,0,0,0,0,158859.34,0
0,4,1,0,0,0,1. White Non-Hispanic,60,59,0,0,0,91444.023,0,0,0,0,0,95137.703,0,12199,6100,,0,0,0,0,0,0,167335.61,0
0,4,0,0,0,0,1. White Non-Hispanic,,78,0,0,0,207400,,,,,,,,12960,6480,,,,,,,,,
0,2,1,0,0,0,2. Black Non-Hispanic,,69,0,1,1,-545,,,,,,,,4311,4311,,,,,,,,,
0,4,0,0,0,0,3. Asian Non-Hispanic,66,66,0,1,0,207400,0,0,0,0,0,9484.25,1,29967,14984,68,0,0,0,0,0,0,73432.531,0
0,2,0,1,0,0,2. Black Non-Hispanic,54,43,1,0,1,5805,1,0,0,1,1,-237.01999,1,18791,9396,55,1,0,0,0,1,1,13933.683,1
0,4,1,0,0,0,1. White Non-Hispanic,,39,0,0,1,22835.6,,,,,,,,2003,1002,,,,,,,,,
0,4,1,0,0,0,2. Black Non-Hispanic,51,50,0,0,0,37547.293,0,0,0,0,0,43046.465,0,2503,2503,52,0,0,0,0,0,0,87862.125,0
0,4,1,0,0,0,2. Black Non-Hispanic,46,45,0,0,0,43246.945,0,0,0,0,0,38876.25,0,1727,1727,47,0,0,0,0,0,0,37178.484,0
0,3,1,0,0,0,1. White Non-Hispanic,,81,1,1,0,90520,,,,,,,,7151,7151,,,,,,,,,
0,4,1,0,0,0,2. Black Non-Hispanic,33,53,0,0,0,187453.27,0,1,0,1,1,40139.41,0,12492,3123,34,0,0,1,0,1,1,33163.039,0
0,4,0,0,0,0,1. White Non-Hispanic,55,53,0,0,0,85306.102,0,0,0,0,0,205394.58,0,20372,6791,,,,,,,,,
0,4,0,0,0,0,1. White Non-Hispanic,,37,0,0,0,69262.383,,,,,,,,17336,8668,,,,,,,,,
0,4,1,0,0,0,2. Black Non-Hispanic,80,79,0,1,0,99050,0,0,0,0,0,20559.852,0,2132,2132,81,1,0,0,0,0,0,10768.043,1
