imp_billindsev,imp_educat,imp_female,imp_financindsev,imp_foodindsev,imp_houseindsev,imp_race,r_age,sevhard,sevhealthd,spmpov,spmres
0,2,1,0,0,0,1. White Non-Hispanic,91,0,1,1,9120.4102
0,3,1,0,0,0,5. Hispanic,20,0,0,1,8309.6104
0,4,1,0,0,0,4. Other / MultiRacial,55,0,0,0,36652.102
0,3,0,0,0,0,1. White Non-Hispanic,70,0,0,0,63601.75
0,1,1,0,0,0,1. White Non-Hispanic,59,0,0,1,2762.8367
0,4,0,0,0,0,1. White Non-Hispanic,76,0,1,0,48977.543
0,4,1,0,0,0,1. White Non-Hispanic,42,0,0,0,129388.92
0,1,1,0,1,0,5. Hispanic,50,1,0,0,33186.387
0,4,1,0,0,0,1. White Non-Hispanic,24,1,0,1,1881.3347
0,3,1,1,0,0,5. Hispanic,72,1,1,0,73335.328
0,3,0,0,0,0,5. Hispanic,66,0,0,0,87080.703
0,4,1,0,0,0,1. White Non-Hispanic,41,0,0,0,121494.5
0,4,0,0,0,0,2. Black Non-Hispanic,36,0,0,0,74540.68
0,3,1,0,0,0,5. Hispanic,21,0,1,1,34.419998
0,4,0,0,0,0,1. White Non-Hispanic,55,1,1,0,65189.73
0,4,1,0,0,0,1. White Non-Hispanic,38,0,0,0,73153.242
0,4,0,0,0,0,1. White Non-Hispanic,49,0,0,0,94083.797
0,2,1,0,0,0,2. Black Non-Hispanic,68,0,1,0,53599.945
0,4,1,0,0,0,1. White Non-Hispanic,76,0,0,0,182663.03
0,4,0,0,0,0,5. Hispanic,40,0,0,0,97818.766
0,3,1,1,0,0,5. Hispanic,47,1,1,0,58776.281
0,4,1,0,0,0,1. White Non-Hispanic,37,0,0,1,17951.104
0,1,1,0,0,0,2. Black Non-Hispanic,50,0,0,0,119741.83
0,3,1,1,1,0,2. Black Non-Hispanic,44,1,0,0,20734.129
0,4,1,0,0,0,1. White Non-Hispanic,40,0,0,1,38889.828
0,4,1,0,0,0,1. White Non-Hispanic,58,0,0,0,24218.52
0,4,0,0,1,0,5. Hispanic,79,1,0,0,18433.043
0,4,1,0,1,0,1. White Non-Hispanic,56,1,0,0,207400
0,4,1,0,0,0,1. White Non-Hispanic,42,0,0,0,78488.273
0,2,1,0,0,0,5. Hispanic,70,0,0,0,96506.273
0,1,0,0,0,0,1. White Non-Hispanic,37,0,0,0,84559.258
0,2,0,0,0,0,1. White Non-Hispanic,40,0,0,0,40268.25
0,3,1,0,0,0,1. White Non-Hispanic,44,0,0,0,49900.5
0,3,0,0,0,0,2. Black Non-Hispanic,18,0,0,1,25621.514
0,4,1,0,0,0,1. White Non-Hispanic,84,0,0,0,25200
0,3,0,0,0,0,1. White Non-Hispanic,64,1,1,0,17561.156
